단어	감정	신뢰도
안락	기쁨	0.446999997
회심	두려움	0.444999993
낙망	슬픔	0.442999989
국치	놀람	0.442999989
프라이드	두려움	0.442000002
절망	기대	0.441000015
수치감	기대	0.439999998
열정	슬픔	0.439999998
육욕	혐오	0.437999994
노기	분노	0.437999994
흥감	기대	0.437999994
흥취	기대	0.43599999
황홀경	슬픔	0.43599999
흠모	두려움	0.433999985
패배주의	기대	0.433999985
여심	슬픔	0.432000011
죄의식	두려움	0.430999994
수심	두려움	0.430999994
심적	기대	0.430000007
경외	분노	0.430000007
심사	기쁨	0.430000007
광희	두려움	0.428000003
적대감	두려움	0.425999999
부부애	슬픔	0.425999999
불덩어리	신뢰	0.423999995
삶의	슬픔	0.421999991
불결기호증	신뢰	0.421999991
성품	슬픔	0.421999991
소원	기쁨	0.419999987
무료	기쁨	0.419999987
굴욕감	신뢰	0.419
좌절	기대	0.418000013
불길	두려움	0.418000013
처절	두려움	0.418000013
장려	놀람	0.416999996
원려	신뢰	0.416999996
감복	두려움	0.414000005
감흥	슬픔	0.412999988
잔인무도	두려움	0.412999988
긴박감	기대	0.409000009
침울함	기대	0.407999992
우환	두려움	0.407000005
설움	슬픔	0.40200001
불행	기대	0.400000006
당혹	혐오	0.395000011
열등의식	두려움	0.393999994
욕구불만	혐오	0.39199999
편함	기대	0.39199999
경이감	분노	0.391000003
공명	놀람	0.391000003
열등콤플렉스	신뢰	0.391000003
미련	신뢰	0.389999986
심상	기쁨	0.389999986
욕정	두려움	0.386999995
해악	혐오	0.386999995
열의	두려움	0.386000007
열등감	혐오	0.386000007
비련	신뢰	0.386000007
반가움	슬픔	0.38499999
끌탕	신뢰	0.384000003
대담	두려움	0.381999999
흥분	분노	0.379999995
유혹	두려움	0.379999995
충동	분노	0.379000008
경외심	분노	0.379000008
성	슬픔	0.377000004
식욕	신뢰	0.377000004
위신	놀람	0.377000004
경망	분노	0.375999987
회지막급	두려움	0.375
취미	슬픔	0.374000013
언짢음	신뢰	0.372000009
소격	분노	0.370999992
애처로움	슬픔	0.370000005
여흥	슬픔	0.368000001
고민	기대	0.365999997
기망	기쁨	0.36500001
미망	기쁨	0.363999993
조건감정반응	기대	0.363999993
색정	기쁨	0.363999993
분기	분노	0.363000005
갈급	기쁨	0.361000001
고통	기대	0.358999997
국민감정	기대	0.356999993
암띰	신뢰	0.356000006
열광	분노	0.354999989
부아	기대	0.354999989
무심	기대	0.354999989
열성	슬픔	0.354000002
무관심	신뢰	0.352999985
소기	신뢰	0.352999985
기죽음	기대	0.351999998
여삼추	기대	0.351999998
악의	신뢰	0.351000011
애국	놀람	0.351000011
망은	기대	0.349000007
위안	기쁨	0.347000003
회한	놀람	0.347000003
갈등상태	혐오	0.345999986
욕구좌절	혐오	0.344999999
요행	기쁨	0.344000012
박탈감	기대	0.342000008
곤혹	두려움	0.340999991
성욕	신뢰	0.340000004
스릴	기쁨	0.335999995
죽음	기대	0.333999991
여정	슬픔	0.331
호의	슬픔	0.330000013
콤플렉스	신뢰	0.330000013
뚱함	두려움	0.330000013
득의만면	기대	0.328999996
공분	기쁨	0.328999996
계급감정	혐오	0.326999992
아가페	두려움	0.324999988
살맛	분노	0.324999988
오락	슬픔	0.321999997
분격	혐오	0.321999997
영웅숭배	분노	0.321999997
신	놀람	0.316000015
청승	분노	0.316000015
배신감	신뢰	0.31400001
쌍불	혐오	0.31400001
역증	두려움	0.31400001
정서	두려움	0.312999994
피폐	기대	0.312000006
대경실색	기대	0.31099999
심정	기쁨	0.310000002
감상적	신뢰	0.308999985
정신적	기쁨	0.307000011
질	신뢰	0.307000011
감격	분노	0.303000003
원성	두려움	0.294999987
무념	기대	0.294
환멸감	신뢰	0.294
무정함	신뢰	0.294
번뇌	기대	0.293000013
허무	신뢰	0.291000009
질시	두려움	0.284999996
명랑	신뢰	0.282000005
격통	두려움	0.280999988
극통	두려움	0.279000014
흉악	기대	0.275000006
금실	기대	0.272000015
미심	두려움	0.268999994
기겁	두려움	0.268000007
인종	두려움	0.263999999
한	두려움	0.256999999
경륜	분노	0.252999991
애욕	기쁨	0.25
무아경	분노	0.241999999
선호	기쁨	0.238000005
감정	혐오	0.193000004
		
