word	SentiCategory
교의	신뢰
교전국	분노,두려움
교조	신뢰
교향곡	기대,기쁨
교화	기대,기쁨,신뢰
교환	신뢰
교회	기대,기쁨,신뢰
구급차	두려움,신뢰
구류	슬픔
구멍	슬픔
구애	기대
구애	기대,기쁨,신뢰
구원	기대,기쁨,신뢰
구조	신뢰
구출	기대,기쁨,신뢰
구충제	혐오,두려움
구토	혐오
국가	신뢰
군	신뢰
군단	혐오
군대	두려움
군비	두려움
군비	분노,두려움
군인	분노,슬픔
군침	혐오
굴욕	혐오,슬픔
굶주림	두려움,슬픔
궁극	기대,두려움
권투	분노
권한	신뢰
궤양	분노,혐오,두려움,슬픔
귀신	두려움
귀족	기대,신뢰
귀족	신뢰
규율	두려움
규제	두려움
규칙	두려움,신뢰
그리움	기대,기쁨,신뢰
그리즐리	두려움
그을음	혐오
극빈자	슬픔
극성	놀람
극장	기쁨
근민	신뢰
근사	기쁨,신뢰
근시	분노,슬픔
근절	분노,혐오,두려움
근친상간	혐오
글자	기대,신뢰
금기	혐오,두려움
금언	분노,혐오,두려움
금지	분노,혐오,두려움
급류	두려움
기갑	두려움
기계	신뢰
기괴	분노,혐오,두려움,놀람
기근	슬픔
기념	기대,기쁨
기념품	기대
기대	기대
기도	기대,신뢰
기록	슬픔
기본	혐오,두려움,슬픔
기부자	신뢰
기쁨	기대,기쁨
기쁨	기대,기쁨,놀람
기쁨	기쁨
기생물	혐오,두려움
기세	기대
기소	두려움
기소	혐오
기요틴	분노,기대,혐오,두려움,슬픔
기재	신뢰
기저귀	혐오
기적	기대,기쁨,놀람,신뢰
기적적	기쁨,놀람
기절	두려움,놀람
기절	두려움,슬픔,놀람
기초	신뢰
기침	혐오
기피	두려움
기함	신뢰
기형	분노,혐오,두려움,슬픔
기형	혐오,두려움,슬픔
기호	기쁨
기호	기쁨,신뢰
기회	기대
기회	기쁨
긴급	기대,두려움,놀람
긴급	기대,혐오,두려움,놀람
긴장	분노
길	기대
길조	기대,기쁨
길항근	분노
껍데기	분노,두려움,슬픔,놀람
꽃	기대,기쁨,신뢰
꽃	기쁨
꽃다발	기쁨,신뢰
꾸지람	분노
나무	분노,기대,혐오,기쁨,놀람,신뢰
나병	혐오,두려움,슬픔
나침반	신뢰
나태	혐오
나트륨	두려움
나팔	기대
낙관론자	신뢰
낙천주의	기대,기쁨,놀람,신뢰
낙태	슬픔
낙태	혐오,두려움,슬픔
낙하산	두려움
낚시	기대
난기류	두려움
난기류	분노,두려움
난민	두려움,슬픔
난민	슬픔
난색	슬픔
난투	두려움
난파	분노,두려움,슬픔
난파선	두려움,슬픔
난파선	분노,혐오,두려움,슬픔,놀람
날개	두려움
남용	분노,혐오,두려움,슬픔
남자	혐오
남풍	두려움,슬픔
낭떠러지	두려움
낭만주의	기쁨
낭비	분노,혐오,슬픔
낭비	혐오,두려움,슬픔
낭종	두려움,슬픔
내각	기쁨,신뢰
내각	신뢰
내구력	신뢰
내구성	신뢰
내부	혐오,신뢰
내일	기대
내장	혐오
냄새	분노,혐오
냄새	혐오
냅킨	슬픔
냉담	슬픔
네더	분노,두려움,슬픔
노	분노
노동	기대,기쁨,놀람,신뢰
노래	기대,기쁨,슬픔,신뢰
노력	기대
노름꾼	기대,놀람
노새	분노,신뢰
노숙자	분노,기대,혐오,두려움,슬픔
노예	분노,두려움,슬픔
노예	분노,혐오,두려움,슬픔
노예	혐오,두려움,슬픔
노인	두려움,슬픔
노처녀	두려움,슬픔
논박	두려움
논쟁	분노
논쟁	분노,혐오
놀람	기쁨,놀람
놈	분노,혐오,슬픔
농구	기대,기쁨
농담	기쁨,놀람
농양	슬픔
농업	신뢰
농장	기대
높이	기대,두려움,기쁨,신뢰
뇌관	신뢰
뇌졸중	두려움,슬픔
누더기	혐오
눈가리개	기대,두려움,놀람
눈금	기대,두려움,기쁨,놀람,신뢰
눈빛	기대,기쁨
눈사태	두려움,슬픔,놀람
능력	신뢰
능보	분노
능숙	신뢰
늪	혐오,두려움
니코틴	혐오
다년생	신뢰
다래끼	혐오
다수	기쁨,신뢰
다이아몬드	기쁨
다이어리	기쁨,신뢰
다이어트	기대
다트	두려움
단검	두려움
단말기	두려움,슬픔
단색화	혐오
단서	기대
단서	신뢰
단순화	기대,기쁨,놀람,신뢰
단식	슬픔
단어	분노
단어	신뢰
단열재	신뢰
단일성	신뢰
단절	슬픔
단정	신뢰
단축	두려움
단합	신뢰
닭	두려움
담	혐오
담요	신뢰
담즙	분노,혐오
당나귀	혐오
당황	놀람
당황	두려움,놀람
당황	두려움,슬픔,놀람
당황	분노,기대,두려움,슬픔,놀람
당황	분노,두려움
당황	슬픔
대관식	기쁨,신뢰
대단원	분노,혐오,두려움,슬픔,놀람
대대	분노
대령	신뢰
대리	신뢰
대리인	신뢰
대리자	신뢰
대변	혐오
대변동	분노,두려움,슬픔
대변인	신뢰
대사	신뢰
대상	슬픔
대성공	기쁨
대소동	분노,기대,두려움,슬픔,놀람
대수도원장	신뢰
대식	혐오
대인기	슬픔
대조법	분노
대주	분노,혐오,두려움,슬픔
대주	신뢰
대칭	기쁨,신뢰
대통령	신뢰
대포	분노,두려움
대포	신뢰
대표단	기대
대피	두려움
대피소	신뢰
대학교	기대
대학살	분노,혐오,두려움,슬픔
대학살	분노,혐오,두려움,슬픔,놀람
대홍수	두려움,슬픔,놀람
더러움	슬픔
덕	신뢰
덩어리	혐오
도깨비	분노,두려움,슬픔
도덕	신뢰
도둑	분노,혐오,두려움,슬픔,놀람
도리	신뢰
도망자	분노,혐오,두려움,슬픔,신뢰
도망자	슬픔
도박	기대,놀람
도발	분노,혐오
도살	분노,혐오,두려움,슬픔,놀람
도살장	분노,혐오,두려움,슬픔
도약	기쁨
도적	혐오
도전	기대,신뢰
도전	분노,두려움
도전	분노,혐오,두려움
도제	신뢰
도착	기대
독	분노,혐오,두려움
독	분노,혐오,두려움,슬픔
독감	두려움
독립	기대,기쁨,놀람,신뢰
독성	분노,두려움
독성	혐오
독소	두려움
독수리	신뢰
독액	분노,혐오,두려움
독재자	두려움
독창성	놀람
돈	분노,기대,기쁨,놀람,신뢰
돌격	두려움
돌고래	기쁨,놀람,신뢰
돌진	두려움
돌풍	두려움,슬픔
동거인	혐오,두려움
동경	기쁨,신뢰
동기화	기대,기쁨,놀람,신뢰
동료	신뢰
동류	신뢰
동맹	신뢰
동맹국	신뢰
동물	혐오
동반자	기쁨,신뢰
동요	두려움
동요	분노
동의	신뢰
동의어	두려움,신뢰
동정심	두려움
돼지	혐오
두꺼비	혐오
두려움	분노,두려움
두목	신뢰
둥유	두려움
둥지	신뢰
듣기	두려움
들것	두려움,슬픔
들불	두려움,슬픔,놀람
등뼈	분노,신뢰
딸	기쁨
땀	두려움
때	혐오
떨림	두려움
떨림	분노,기대,두려움,슬픔
똥	분노,혐오
똥	혐오
똥개	분노,혐오,두려움
라돈	두려움
래플	기대,놀람
램	분노,기대
랩	분노
랩터	두려움
레몬	혐오
레이더	신뢰
레이스	분노,두려움,슬픔,신뢰
레이저	신뢰
레인저	신뢰
레일	분노,기대
레크리에이션	기대,기쁨
로드스터	기쁨,신뢰
로맨스	기대,두려움,기쁨,슬픔,놀람,신뢰
로맨틱	기대,기쁨,신뢰
로켓	분노
로타	신뢰
루틴	신뢰
룰렛	기대
류머티즘	분노,두려움,슬픔
리갈	신뢰
리본	분노,기대,기쁨
리볼버	분노,두려움,슬픔
마구간	혐오
마녀	분노,혐오,두려움
마름병	혐오,두려움,슬픔
마법	기대,두려움,놀람
마법사	기대,놀람
마블	놀람
마비	분노,기대,두려움,슬픔
마사지	기쁨
마술사	놀람
마술사	두려움
마조히즘	분노,혐오,두려움
마찰	분노
마피아	두려움
막대	두려움,신뢰
만다무스	두려움
만세	기쁨
만자	분노,두려움
맏아들	기대,기쁨,신뢰
말	신뢰
말괄량이	기쁨
말다툼	분노
말다툼	분노,혐오
말다툼	분노,혐오,두려움
말뚝	혐오
말라리아	혐오,두려움,슬픔
말살	두려움,슬픔
말살	분노,두려움
말살	분노,두려움,슬픔
맛	기대,혐오,기쁨,슬픔,신뢰
망각	분노,두려움
망명	분노,두려움,슬픔
망상	분노,두려움
매	두려움
매력	기대,기쁨,놀람
매료	기쁨
매복	분노,두려움,놀람
매음굴	혐오
매장	분노,두려움,슬픔
매장	슬픔
매춘	혐오,슬픔
매춘부	혐오
맥주	기쁨
맹목	슬픔
맹세	기대
맹세	기대,기쁨,신뢰
맹세	신뢰
머스킷	두려움
먹이	두려움
멋쟁이	혐오
메달	기대,기쁨,놀람,신뢰
메뚜기	두려움
메스	두려움
메이스	두려움
메추라기	두려움
멘토르	신뢰
면도칼	두려움
면접관	두려움
면제	신뢰
멸균	슬픔
명령	두려움
명성	기쁨
명성	기쁨,신뢰
명예	기쁨
명예	신뢰
모기	분노,혐오
모독	분노
모래	신뢰
모범	기대,기쁨,신뢰
모순	분노
모욕	분노,혐오,두려움,슬픔
모욕	분노,혐오,두려움,슬픔,놀람
모욕	분노,혐오,슬픔,놀람
모험	기대
목격자	신뢰
목사	기쁨
목사	기쁨,신뢰
목사	신뢰
목수	신뢰
목자	신뢰
목적	기대,신뢰
목적지	기대,두려움,기쁨,슬픔,놀람
몰락	두려움,슬픔
몰래	기대,두려움,신뢰
몰래	놀람
몰인정	슬픔
몸값	분노,두려움
묘지	두려움,슬픔
무	슬픔
무게	기대,두려움
무게	기대,혐오,두려움,기쁨,슬픔,놀람,신뢰
무관심	분노,혐오,두려움,슬픔
무관심	분노,혐오,슬픔
무급	분노,슬픔
무능	슬픔
무덤	두려움,슬픔
무덤	슬픔
무력	분노,두려움
무력	분노,두려움,슬픔
무력감	두려움,슬픔
무례	분노
무리	분노,두려움
무모	분노,혐오,두려움,놀람
무성의	혐오,슬픔
무시	분노,혐오,슬픔
무시	혐오
무장	분노,두려움
무정부주의	분노,두려움
무정부주의자	분노,두려움
무제	슬픔
무질서	두려움
무학	슬픔
무한대	기대,기쁨,신뢰
문	신뢰
문명	신뢰
문법	신뢰
문어	혐오
문외한	두려움
문의	기대
문장	분노,기대,혐오,두려움,슬픔
문제	두려움,슬픔
물개	신뢰
뮤지컬	분노,기대,기쁨,슬픔,놀람,신뢰
미결	기대,두려움,놀람
미궁	기대
미끼	두려움,신뢰
미늘	분노
미분	신뢰
미사일	두려움
미성숙	기대
미숙	분노,기대
미술	기대,기쁨,슬픔,놀람
미신	두려움
미정	기대,두려움
미치광이	분노,두려움
미치광이	분노,혐오,두려움
미학	기쁨
미해결	기대
미혹	분노,두려움,슬픔
미확인	슬픔
민첩	놀람
믿음	기대,기쁨,신뢰
밀	기대
밀기울	혐오
밀렵	분노,혐오,두려움,슬픔
밀림	두려움
밀수	두려움
밀수선	분노,혐오,두려움
바깥채	혐오
바람	혐오,두려움,슬픔
바람둥이	기대,기쁨,놀람,신뢰
바리케이드	두려움
바보	분노,놀람
바보	분노,혐오
바보	신뢰
바보	혐오
바텐더	신뢰
바프	혐오
박수	기대,기쁨,신뢰
박진성	신뢰
박차	두려움
박탈	분노,슬픔
박탈	분노,혐오,두려움,슬픔
박테리아	혐오,두려움
박테리아	혐오,두려움,슬픔
박해	분노,혐오,두려움,슬픔
반감	분노,혐오
반대	분노
반대	분노,두려움
반대	분노,혐오
반란	분노
반란	분노,기대,두려움
반란	분노,놀람
반바지	신뢰
반발	혐오,두려움
반송	분노
반시	분노,혐오,두려움,슬픔
반역	분노,혐오,두려움,놀람
반역자	분노,두려움
반전	분노,혐오,놀람
반제	신뢰
반주	기대,기쁨,신뢰
반죽	분노,두려움
반칙	분노,혐오,두려움
반항	분노,두려움
반항	분노,혐오,두려움
반환	분노
발광	기대,기쁨,신뢰
발굴	기대,놀람
발뺌	기대,놀람,신뢰
발사	분노,두려움,슬픔,놀람
발사체	두려움
발아	기대
발연	분노
발작	두려움
발진	혐오
발톱	분노,두려움
발판	두려움
발표	기대
발한	혐오
발효	기대
방	놀람
방문객	기대,기쁨
방부제	신뢰
방사능	두려움
방사성	두려움
방어	분노,기대,두려움
방어	신뢰
방어자	신뢰
방울뱀	두려움
방지	기대
방탕	혐오,두려움
방해	분노,두려움,슬픔,놀람
방해	분노,슬픔
방해	분노,혐오,두려움,슬픔
방해	슬픔
방해물	분노,두려움,슬픔
방화	분노,두려움
방화범	분노,두려움,놀람
밭고랑	슬픔
배	기대
배달	기대
배반	분노,두려움,슬픔,놀람
배상	신뢰
배설	혐오
배설물	혐오
배신	분노,혐오,슬픔
배신자	분노
배신자	분노,혐오,두려움,슬픔
배심	신뢰
배우자	기쁨,신뢰
배우자	신뢰
배제	분노,혐오,두려움,슬픔
배지	신뢰
배짱	혐오
배터리	분노
배회	두려움,놀람
백내장	기대,두려움,슬픔
백치	두려움,슬픔
백치	분노,혐오,슬픔
백혈병	분노,두려움,슬픔
뱀	혐오,두려움
뱀장어	두려움
버머	분노,혐오
버크	분노,혐오,두려움,슬픔
번개	분노,두려움,놀람
번성	기대,기쁨
번역	신뢰
번영	기쁨
벌	분노,두려움
벌레	기대,놀람
벌레	혐오,두려움
범인	분노,혐오,두려움
범죄	분노
범죄	분노,혐오,두려움
범죄자	분노,혐오,두려움,슬픔
법	신뢰
법률학	슬픔
법원	분노,기대,두려움
법인	신뢰
법정	기대,혐오,두려움,신뢰
법학자	신뢰
벙커	두려움
베이스	신뢰
벤트	분노
벨트	분노,두려움
벼룩	혐오
변	혐오
변덕	기대,기쁨,놀람
변덕	혐오
변비	혐오
변색	혐오
변색	혐오,슬픔
변소	혐오
변칙	두려움,놀람
변태	분노,혐오
변태	분노,혐오,두려움
변형	혐오,슬픔
변호사	분노,두려움,신뢰
변호사	분노,혐오,두려움
변화	두려움
병	혐오,두려움,슬픔
병기	두려움
병원	두려움,슬픔,신뢰
병합	기대
보강	신뢰
보관	신뢰
보너스	기대,기쁨,놀람
보류	두려움
보물	기대,기쁨,신뢰
보복	분노
보복	분노,두려움,슬픔
보상	기대,기쁨,놀람,신뢰
보석	기쁨
보어	기대,기쁨,놀람,신뢰
보온재	분노,기대,혐오,슬픔
보장	신뢰
보조금	분노,혐오
보존	기대,신뢰
보증	신뢰
보증인	신뢰
보초	신뢰
보호	신뢰
보호자	신뢰
복권	기대
복수	분노
복수	분노,기대,두려움,놀람
복수자	분노
복음	신뢰
복종	신뢰
봉쇄	분노,두려움,슬픔
봉헌	신뢰
부당	분노
부도덕	분노,혐오
부랑자	혐오,슬픔
부메랑	기대,신뢰
부상	분노,두려움,슬픔
부스러기	혐오
부식	두려움,슬픔
부엉	분노,혐오
부재자	슬픔
부정	기대
부정	분노
부정	분노,혐오,두려움,슬픔
부정	혐오
부정직	혐오
부제	신뢰
부조화	두려움,슬픔
부족	분노,두려움,슬픔
부족	신뢰
부종	두려움
부주의	분노
부주의	분노,혐오
부채	두려움,놀람
부패	두려움,슬픔
부패	분노,혐오,두려움,슬픔
부패	혐오
부패	혐오,슬픔
부패물	혐오
부하	두려움
부항	혐오,두려움,슬픔
분개	분노
분개	분노,혐오
분노	분노
분리	분노
분리파	분노,혐오
분비	혐오
분비액	분노,기쁨,슬픔
분석자	기대,신뢰
분열	분노,두려움,놀람
분출	혐오,기쁨
분해	슬픔
분해	혐오,두려움,슬픔
분화	분노,두려움,놀람
불결	혐오
불공정	분노,슬픔
불공정	분노,혐오,슬픔
불구	슬픔
불구자	두려움,슬픔
불꽃	기대,기쁨,놀람
불꽃	분노
불만	분노,혐오,두려움,슬픔
불만	분노,혐오,슬픔
불만족	혐오,슬픔
불명예	분노,혐오,두려움,슬픔
불명예	분노,혐오,슬픔
불명예	슬픔
불모	슬픔
불법	분노,두려움
불법	분노,혐오,두려움
불법	분노,혐오,두려움,슬픔
불법	분노,혐오,두려움,슬픔,놀람
불변	신뢰
불사	기대
불순종	분노
불순종	분노,혐오
불신	분노,혐오,두려움
불신	혐오,두려움
불안	기대,슬픔
불안	두려움,슬픔
불안	분노,기대,두려움,슬픔
불안정	두려움
불안정	혐오,두려움
불연속	혐오,두려움,슬픔
불충분	분노
불침투성	분노,두려움
불쾌	슬픔
불쾌	혐오
불평	분노
불평	분노,혐오
불평등	분노,두려움,슬픔
불행	두려움,슬픔
불행	분노,혐오,두려움,슬픔
불행	슬픔
불허	분노,혐오,두려움,슬픔
불협화음	분노
불협화음	분노,혐오
불화	분노
불화	분노,혐오
붕괴	슬픔
뷔페	분노
블루스	두려움,슬픔
비겁	두려움
비공개	기대
비관론자	두려움,슬픔
비극	두려움,슬픔
비난	분노
비난	분노,기대,혐오,두려움,슬픔
비난	분노,혐오,두려움
비대	혐오,두려움,놀람
비둘기	기대,기쁨,신뢰
비료	혐오
비명	분노,두려움,슬픔,놀람
비명	분노,혐오,두려움,놀람
비문	슬픔
비밀	놀람,신뢰
비밀	신뢰
비상	두려움,슬픔,놀람
비소	혐오,두려움,슬픔
비승인	분노,슬픔
비승인	분노,혐오,슬픔
비애	슬픔,신뢰
비애	혐오,두려움,슬픔
비웃음	분노,혐오
비준수	분노,기대,두려움,슬픔
비탄	두려움,슬픔
비탄	슬픔
비탄	혐오,두려움,슬픔
비판	분노,슬픔
비행	혐오
비효율	혐오,슬픔
빈곤	분노,혐오,두려움,슬픔
빈민가	혐오,두려움,슬픔
빈민굴	혐오
빔	기쁨
빗발	신뢰
빚	슬픔
빨판	분노
뼈대	신뢰
사건	놀람
사격	분노,두려움
사고	두려움,슬픔,놀람
사기	분노
사기	분노,혐오
사기	분노,혐오,슬픔,놀람
사기꾼	분노,혐오
사냥꾼	기대,두려움,슬픔
사도	신뢰
사람	신뢰
사랑	기쁨
사령관	신뢰
사례	두려움,슬픔
사리	신뢰
사마귀	혐오
사막	분노,혐오,두려움,슬픔
사망	분노,혐오,두려움,슬픔
사면	기쁨,신뢰
사무라이	두려움
사법	기대,신뢰
사법부	기대,신뢰
사보타주	분노,혐오,두려움,슬픔,놀람
사산	슬픔
사수	두려움
사실	신뢰
사악	혐오
사업	기대
사이렌	두려움
사임	슬픔
사자	두려움
사전	신뢰
사정	기대,기쁨,놀람,신뢰
사제직	기대,기쁨,슬픔,신뢰
사직	슬픔,놀람
사직하다	분노,혐오,두려움,슬픔
사치	기쁨
사형	분노,혐오,두려움,슬픔
사회주의	혐오,두려움
사후	슬픔
삭감	분노
삭제	두려움
산	기대
산모	기대
산사태	두려움,슬픔
산파	기대,기쁨,신뢰
살인	분노,혐오,두려움,슬픔
살인	분노,혐오,두려움,슬픔,놀람
살인자	분노,혐오,두려움,슬픔
살해자	분노,혐오,두려움,슬픔,놀람
상	기대,기쁨,놀람,신뢰
상각	신뢰
상금	기대,기쁨
상대	분노,기대,혐오,두려움
상록수	기쁨,신뢰
상승	기대,기쁨
상실	두려움,슬픔
상업	신뢰
상원	신뢰
상위	신뢰
상인	신뢰
상처	분노,두려움,슬픔
상태	기대,혐오,두려움,슬픔
상태	두려움
상표	신뢰
상하이	혐오,두려움
새끼	혐오,슬픔
새벽	기대,기쁨,놀람,신뢰
새장	슬픔
색욕	기대
색전증	두려움,슬픔
샐러리	기대,기쁨,신뢰
생각	기대
생검	두려움
생물	혐오,두려움
생산	기대
생식	기쁨
생신	기대,기쁨,놀람
서명	신뢰
서장	기대
서포터	기쁨,신뢰
석유	혐오
선견	기대,신뢰
선구자	분노,기대,두려움
선동	분노,슬픔
선량	기대,기쁨,놀람,신뢰
선물	기대,기쁨,놀람
선박	신뢰
선생님	신뢰
선잠	기쁨
선풍	두려움
선회	두려움
설교	신뢰
설명	신뢰
설사	혐오
설치	기대
섬광	분노,두려움
섭동	두려움
섭정	신뢰
성가	분노,기대,기쁨,놀람
성가대	기쁨,신뢰
성공	기대,기쁨
성공	기대,기쁨,신뢰
성당	기쁨,신뢰
성명	신뢰
성서	기대,신뢰
성역	기대,기쁨,신뢰
성자	기대,기쁨,놀람,신뢰
성직자	신뢰
성취	기대,기쁨,신뢰
세	슬픔
세균	기대,혐오
세례식	기쁨
세이지	신뢰
섹스	기대,기쁨,신뢰
센터	신뢰
소	혐오
소곡	기쁨
소나무	슬픔
소네트	기쁨,슬픔
소득	기대,기쁨,슬픔,신뢰
소란	분노,두려움,놀람
소란	분노,두려움,슬픔
소문	슬픔
소방수	신뢰
소송	분노,혐오,두려움,슬픔,놀람
소수	분노,혐오,슬픔
소시지	분노,기대,두려움,놀람
소실	슬픔,놀람
소심	기대,두려움
소아마비	두려움,슬픔
소용돌이	두려움
소울메이트	두려움
소유	분노,혐오,두려움
소총	분노,두려움
소탕	분노,두려움
소택지	혐오
속가	기대
속눈썹	분노,두려움
속박	두려움,슬픔
속삭임	분노
속악	분노,혐오,슬픔
속임수	분노,혐오,두려움,슬픔,놀람
손상	분노,혐오,슬픔
손수레	혐오
손실	분노,두려움,슬픔
손자	기대,기쁨,신뢰
손짓	분노,혐오
손해	슬픔
솔직	신뢰
송곳니	두려움
송아지	기쁨,신뢰
쇠미	슬픔
쇼핑	기대,기쁨,놀람,신뢰
수녀	신뢰
수도사	신뢰
수도원	신뢰
수동	신뢰
수두	혐오,두려움,슬픔
수두증	혐오,두려움,슬픔
수렴	기대
수렵	분노,기대,두려움
수뢰	분노
수류탄	두려움
수비대	신뢰
수비토	놀람
수상자	신뢰
수수께끼	놀람
수수료	신뢰
수술	두려움,슬픔
수신	분노,기대,혐오,기쁨,놀람,신뢰
수액	슬픔
수업	기대,신뢰
수영	기대,두려움,기쁨
수요	분노
수용소	슬픔
수위	신뢰
수은	놀람
수준	신뢰
수줍음	두려움
수차	혐오
수축	두려움
수축	두려움,슬픔
수평선	기대
수포	혐오
수포진	혐오
수행원	신뢰
수회	혐오
숙명	두려움,슬픔
숙제	두려움
숙청	두려움
순결	기대,신뢰
순경	두려움,신뢰
순경	신뢰
순교	두려움,슬픔
순교자	두려움,슬픔
순찰	신뢰
술잔치	기쁨
술탄	두려움
숫자	신뢰
숭경	기쁨,신뢰
숭배	두려움
슈퍼맨	기쁨,신뢰
슈퍼스타	기쁨,신뢰
스릴	기대,두려움,기쁨,놀람
스매시	분노,두려움
스미스	신뢰
스캔들	두려움
스캔들	분노
스크래피	분노,두려움,슬픔
스크럼	놀람
스트라이크	분노
스파니엘	기쁨,신뢰
스파이크	두려움
스포일러	슬픔
스폰서	신뢰
스프라이트	두려움
슬럼프	슬픔
슬립	놀람
슬픔	두려움,슬픔
슬픔	슬픔
습격	기대
습격	분노,두려움,놀람
습관	기대
습지	혐오
승강이	분노,혐오,두려움,슬픔
승객	기대
