단어	감정	신뢰도
열	분노	0.2849999964237213
가학피학증	혐오	0.21899999678134918
갈증	기쁨	0.15299999713897705
소원	기쁨	0.26499998569488525
회개	기쁨	0.23000000417232513
열등의식	혐오	0.5899999737739563
광희	기쁨	0.28600001335144043
보수성	혐오	0.27900001406669617
의기양양	분노	0.20100000500679016
비참	슬픔	0.24799999594688416
존중	혐오	0.29899999499320984
의분	분노	0.3630000054836273
질시	혐오	0.27300000190734863
열등감	혐오	0.5379999876022339
심취	분노	0.18799999356269836
간구	분노	0.20399999618530273
비련	슬픔	0.29499998688697815
강한	분노	0.3190000057220459
안절부절	놀람	0.23000000417232513
열애	사랑	0.24799999594688416
흥취	기쁨	0.3310000002384186
인종	혐오	0.6079999804496765
정취	기쁨	0.19200000166893005
갈애	사랑	0.18299999833106995
득의만면	불안	0.1679999977350235
갈급증	기쁨	0.1679999977350235
흉금	불안	0.20000000298023224
양면가치	사랑	0.20800000429153442
심금	분노	0.3310000002384186
무서움	기쁨	0.20200000703334808
가락	희망	0.17800000309944153
불	분노	0.27000001072883606
마조히즘	기쁨	0.2160000056028366
순정	분노	0.23800000548362732
소외감	혐오	0.45500001311302185
정감	혐오	0.1899999976158142
정조	사랑	0.20399999618530273
사의	슬픔	0.20999999344348907
겁	분노	0.27799999713897705
대경실색	분노	0.16300000250339508
희구	기쁨	0.5139999985694885
경애	사랑	0.29499998688697815
삼락	기쁨	0.22499999403953552
적개심	사랑	0.2460000067949295
감상적	기쁨	0.19099999964237213
불길	분노	0.1889999955892563
공분	분노	0.4129999876022339
원성	분노	0.24400000274181366
입덧	슬픔	0.22200000286102295
생활고	슬픔	0.2199999988079071
감상	놀람	0.23800000548362732
진지함	기쁨	0.3540000021457672
광적	기쁨	0.16099999845027924
죄의식	혐오	0.36800000071525574
앙심	사랑	0.2240000069141388
순종	기쁨	0.2720000147819519
쾌재	기쁨	0.6330000162124634
심경	분노	0.2329999953508377
아가페	사랑	0.2639999985694885
허가	혐오	0.15700000524520874
비망	희망	0.257999986410141
사고	분노	0.24799999594688416
아메리칸드림	기쁨	0.2619999945163727
경쟁의식	혐오	0.5120000243186951
평온	기쁨	0.3310000002384186
노여움	기쁨	0.2150000035762787
스릴	놀람	0.1770000010728836
단말마	사랑	0.17499999701976776
미안	사랑	0.1889999955892563
소격	분노	0.2759999930858612
반가움	혐오	0.23399999737739563
라포르	혐오	0.19599999487400055
측은	슬픔	0.2980000078678131
초연함	기쁨	0.257999986410141
여운	분노	0.19599999487400055
욕정	분노	0.28299999237060547
살맛	기쁨	0.39399999380111694
극통	분노	0.335999995470047
의향	슬픔	0.20800000429153442
관록	슬픔	0.18799999356269836
마조히즘	기쁨	0.2160000056028366
애욕	혐오	0.36800000071525574
외경	슬픔	0.1809999942779541
미망	사랑	0.18000000715255737
해원	분노	0.24500000476837158
유혹	기쁨	0.2879999876022339
고조	슬픔	0.3370000123977661
무념	슬픔	0.23199999332427979
정욕	혐오	0.25200000405311584
암띰	사랑	0.18400000035762787
번민	사랑	0.22499999403953552
환멸감	혐오	0.675000011920929
타기	분노	0.1770000010728836
무아지경	사랑	0.23199999332427979
욕구좌절	사랑	0.1720000058412552
부아	분노	0.2160000056028366
무심	슬픔	0.1860000044107437
감수성	혐오	0.2529999911785126
치정	분노	0.20600000023841858
금광열	기쁨	0.31299999356269836
약한	분노	0.4350000023841858
무감정	슬픔	0.2150000035762787
매료됨	슬픔	0.18000000715255737
우국	사랑	0.22300000488758087
홍복	사랑	0.19499999284744263
탐미	놀람	0.19300000369548798
심기	분노	0.40700000524520874
승인	분노	0.23999999463558197
골	분노	0.3009999990463257
감질	분노	0.19699999690055847
친절	기쁨	0.4099999964237213
기죽음	슬픔	0.21299999952316284
생가슴	분노	0.2150000035762787
갈구	희망	0.20000000298023224
사디즘	혐오	0.2759999930858612
우민	사랑	0.25200000405311584
감성	기쁨	0.18199999630451202
호전성	기쁨	0.335999995470047
허탈감	기쁨	0.335999995470047
경외심	놀람	0.15299999713897705
암울	슬픔	0.30399999022483826
경륜	슬픔	0.16599999368190765
리비도	분노	0.1770000010728836
신용	슬픔	0.27000001072883606
배신감	혐오	0.46799999475479126
정신적	분노	0.24699999392032623
비위	분노	0.25699999928474426
선심	슬픔	0.19300000369548798
자괴	슬픔	0.24199999868869781
경외지심	사랑	0.1589999943971634
분심	분노	0.31700000166893005
감흥	기쁨	0.2939999997615814
뿔	분노	0.4410000145435333
황폐	혐오	0.35499998927116394
섬뜩함	기쁨	0.23999999463558197
태평	분노	0.21899999678134918
갈급	분노	0.2329999953508377
과학기술탐닉증	기쁨	0.2029999941587448
열통	분노	0.29499998688697815
장려	슬픔	0.210999995470047
무기력감	기쁨	0.19599999487400055
흠모	사랑	0.35899999737739563
맹목적으로	혐오	0.23899999260902405
무력감	혐오	0.3179999887943268
외로움	기쁨	0.2800000011920929
잔재미	사랑	0.2199999988079071
압박감	혐오	0.3970000147819519
지복	사랑	0.2070000022649765
오이디푸스콤플렉스	사랑	0.23800000548362732
긴박감	슬픔	0.17399999499320984
수심	슬픔	0.2160000056028366
망은	분노	0.19300000369548798
축원	기쁨	0.2540000081062317
열중	놀람	0.2150000035762787
원증회고	사랑	0.23100000619888306
염세	희망	0.164000004529953
쓴맛	기쁨	0.2919999957084656
신명	기쁨	0.16300000250339508
굴욕감	혐오	0.42500001192092896
실쭉함	기쁨	0.23499999940395355
황홀경	분노	0.20200000703334808
욕구불만	혐오	0.2980000078678131
계급감정	혐오	0.5189999938011169
회심	기쁨	0.17900000512599945
가슴앓이	슬픔	0.21299999952316284
상사	사랑	0.2199999988079071
친애	사랑	0.35899999737739563
친선	사랑	0.2409999966621399
경쟁심	혐오	0.3409999907016754
흥감	기쁨	0.36899998784065247
처절	놀람	0.2529999911785126
우려	불안	0.32199999690055847
민족의식	기쁨	0.34599998593330383
불결기호증	슬픔	0.19699999690055847
묘미	사랑	0.1889999955892563
비분강개	분노	0.30300000309944153
식욕	혐오	0.3269999921321869
낙망	기쁨	0.4350000023841858
요행	놀람	0.1770000010728836
부드러움	기쁨	0.30799999833106995
총애	사랑	0.26100000739097595
허무	기쁨	0.22200000286102295
해방감	기쁨	0.3149999976158142
침착	기쁨	0.23000000417232513
온정	분노	0.3050000071525574
거리감	불안	0.2290000021457672
성향	혐오	0.2639999985694885
노염	놀람	0.20800000429153442
치기	분노	0.2680000066757202
미신	사랑	0.2669999897480011
고민	슬픔	0.24300000071525574
적대	분노	0.20999999344348907
무성의	슬픔	0.25699999928474426
서글픔	기쁨	0.25699999928474426
격앙	분노	0.3709999918937683
자괴감	혐오	0.3529999852180481
미련	슬픔	0.2070000022649765
원려	사랑	0.19699999690055847
심상	분노	0.24799999594688416
속수무책	놀람	0.2370000034570694
중원	분노	0.21799999475479126
야속	분노	0.18400000035762787
낙	슬픔	0.24400000274181366
만심	분노	0.23399999737739563
탐락	기쁨	0.2630000114440918
격통	분노	0.4020000100135803
생각	슬픔	0.24799999594688416
공허감	불안	0.22300000488758087
죽음	기쁨	0.30000001192092896
대우	혐오	0.2199999988079071
충성심	기쁨	0.2800000011920929
적막	놀람	0.17900000512599945
조건감정반응	사랑	0.23899999260902405
영국숭배	혐오	0.3779999911785126
금실	분노	0.22100000083446503
균열	기쁨	0.2930000126361847
평정	기쁨	0.19499999284744263
고적	슬픔	0.3569999933242798
해악	혐오	0.20499999821186066
잔인무도	혐오	0.2290000021457672
감천	놀람	0.25999999046325684
여정	사랑	0.296999990940094
선행	기쁨	0.17499999701976776
애국	기쁨	0.16500000655651093
번뇌	슬픔	0.19099999964237213
님포마니아	사랑	0.3400000035762787
핏대	혐오	0.18799999356269836
경외감	혐오	0.2529999911785126
안절부절못함	놀람	0.19300000369548798
부부애	사랑	0.3179999887943268
재정난	분노	0.1850000023841858
쌍불	분노	0.2409999966621399
간절	놀람	0.29600000381469727
기술	혐오	0.1720000058412552
상무	분노	0.23000000417232513
무료	기쁨	0.16699999570846558
불덩어리	분노	0.24699999392032623
색정	사랑	0.1850000023841858
양심	슬픔	0.2460000067949295
감복	기쁨	0.2540000081062317
신뢰감	기쁨	0.2619999945163727
위기감	불안	0.3440000116825104
은총	슬픔	0.15399999916553497
아상	분노	0.3490000069141388
여삼추	분노	0.24400000274181366
회오	분노	0.2160000056028366
흉악	분노	0.3240000009536743
신뢰	분노	0.1550000011920929
국치	분노	0.22200000286102295
불만	혐오	0.36399999260902405
취향	혐오	0.26499998569488525
피폐	기쁨	0.22499999403953552
설움	놀람	0.19900000095367432
치욕감	혐오	0.42100000381469727
보호심	슬픔	0.17000000178813934
애	사랑	0.3449999988079071
희비	기쁨	0.5640000104904175
위신	분노	0.23499999940395355
고락	기쁨	0.2240000069141388
회지막급	분노	0.2529999911785126
거리	분노	0.3059999942779541
황홀감	기쁨	0.2370000034570694
자괴심	혐오	0.22300000488758087
청승	기쁨	0.20499999821186066
낙관적	사랑	0.1979999989271164
성품	슬픔	0.20999999344348907
우환	분노	0.23899999260902405
질	분노	0.28600001335144043
중고	사랑	0.1860000044107437
약	슬픔	0.19900000095367432
부담감	혐오	0.37700000405311584
소기	분노	0.42100000381469727
끌탕	분노	0.22300000488758087
박탈감	혐오	0.5640000104904175
무정함	사랑	0.1899999976158142
낙관	슬픔	0.18799999356269836
보수	분노	0.18000000715255737
경망	기쁨	0.23100000619888306
심정	슬픔	0.27399998903274536
곤혹	기쁨	0.21899999678134918
서스펜스	사랑	0.26899999380111694
위기의식	기쁨	0.24400000274181366
동경	슬픔	0.17299999296665192
국민감정	분노	0.23800000548362732
여심	사랑	0.2370000034570694
분풀이	분노	0.41499999165534973
경외	놀람	0.19900000095367432
패배감	혐오	0.5049999952316284
애기	사랑	0.2669999897480011
호색	기쁨	0.36899998784065247
선망	기쁨	0.2460000067949295
엑스터시	놀람	0.1979999989271164
신경과민	분노	0.21400000154972076
재미	슬픔	0.17499999701976776
절망감	혐오	0.21699999272823334
무산	기쁨	0.25600001215934753
비감	기쁨	0.20200000703334808
애련	사랑	0.27000001072883606
사감	혐오	0.23199999332427979
패배주의	혐오	0.42500001192092896
영웅숭배	기쁨	0.3230000138282776
위열	기쁨	0.27900001406669617
중압감	분노	0.21799999475479126
엘렉트라콤플렉스	사랑	0.19200000166893005
과학	기쁨	0.23199999332427979
사행	희망	0.16899999976158142
심려	분노	0.382999986410141
불락	놀람	0.20200000703334808
경솔	분노	0.21899999678134918
관유	사랑	0.14900000393390656
도취	놀람	0.19599999487400055
자긍	슬픔	0.2029999941587448
격려	기쁨	0.24500000476837158
심사	분노	0.30399999022483826
역증	분노	0.24300000071525574
고적감	슬픔	0.3330000042915344
허무감	기쁨	0.39899998903274536
여흥	사랑	0.1940000057220459
정서	분노	0.27000001072883606
관능	사랑	0.17100000381469727
쓰라림	슬픔	0.22699999809265137
병고	분노	0.33500000834465027
분	분노	0.5120000243186951
환난	기쁨	0.39500001072883606
무아경	사랑	0.18000000715255737
뚱함	기쁨	0.33000001311302185
자학	사랑	0.26499998569488525
편함	기쁨	0.39500001072883606
열성	기쁨	0.25699999928474426
정한	분노	0.2800000011920929
분기	분노	0.3240000009536743
속병	사랑	0.1979999989271164
