word	label
만심	기타
탐락	기타
격통	기타
생각	기타
공허감	기타
죽음	기타
대우	기타
충성심	기타
적막	기타
조건감정반응	기타
영국숭배	기타
금실	기타
균열	기타
평정	기타
고적	기타
해악	기타
잔인무도	기타
감천	기타
여정	기타
선행	기타
애국	기타
번뇌	기타
님포마니아	기타
핏대	기타
경외감	기타
안절부절못함	기타
부부애	기타
재정난	기타
쌍불	기타
간절	기타
기술	기타
상무	기타
무료	기타
불덩어리	기타
색정	기타
양심	기타
감복	기타
신뢰감	기타
위기감	기타
은총	기타
아상	기타
여삼추	기타
회오	기타
흉악	기타
신뢰	기타
국치	기타
불만	기타
취향	기타
피폐	기타
설움	기타
치욕감	기타
보호심	기타
애	기타
희비	기타
위신	기타
고락	기타
회지막급	기타
거리	기타
황홀감	기타
자괴심	기타
청승	기타
낙관적	기타
성품	기타
우환	기타
질	기타
중고	기타
약	기타
부담감	기타
소기	기타
끌탕	기타
박탈감	기타
무정함	기타
낙관	기타
보수	기타
경망	기타
심정	기타
곤혹	기타
서스펜스	기타
위기의식	기타
동경	기타
국민감정	기타
여심	기타
분풀이	기타
경외	기타
패배감	기타
애기	기타
호색	기타
선망	기타
엑스터시	기타
신경과민	기타
재미	기타
절망감	기타
무산	기타
비감	기타
애련	기타
사감	기타
패배주의	기타
영웅숭배	기타
위열	기타
중압감	기타
엘렉트라콤플렉스	기타
과학	기타
사행	기타
심려	기타
불락	기타
경솔	기타
관유	기타
도취	기타
자긍	기타
격려	기타
심사	기타
역증	기타
고적감	기타
허무감	기타
여흥	기타
정서	기타
관능	기타
쓰라림	기타
병고	기타
분	기타
환난	기타
무아경	기타
뚱함	기타
자학	기타
편함	기타
열성	기타
정한	기타
분기	기타
속병	기타
